Date,Open,High,Low,Close,Adj Close,Volume,count,tb_polarity,tb_subjectivity,v_pos,v_neg,v_neu,v_com,mv_pos,mv_neg,mv_neu,mv_com
12/4/2021,24.52,24.549999,22.73,23.34,23.34,68620800,616,0.022076539,0.311234035,0.097435754,0.072883874,0.829679193,0.047179384,0.168752036,0.09019629,0.741060515,0.148940381
13/4/2021,23.190001,25.659,23.120001,25.42,25.42,83913500,616,0.022076539,0.311234035,0.097435754,0.072883874,0.829679193,0.047179384,0.168752036,0.09019629,0.741060515,0.148940381
14/4/2021,25.35,26.200001,23.65,23.700001,23.700001,108793800,885,0.015339229,0.311063833,0.085219209,0.086103955,0.828680226,0.015238079,0.155630508,0.108553672,0.735813559,0.102982486
15/4/2021,24.01,24.059999,22.690001,23.15,23.15,58849300,603,0.015024193,0.340337943,0.101097844,0.112074627,0.786822554,-0.021088391,0.160334992,0.131023217,0.708633499,0.070581758
16/4/2021,22.860001,23.26,22.299999,22.469999,22.469999,46627700,381,0.020452824,0.354700473,0.109454068,0.104532808,0.786026247,0.01593832,0.162832021,0.130173228,0.707023622,0.056489501
19/4/2021,22.15,22.33,21.530001,21.940001,21.940001,45753900,290,-0.001765582,0.321930712,0.084772414,0.108096552,0.807131034,-0.028873448,0.151644828,0.127451724,0.720906897,0.049969655
20/4/2021,21.959999,22.549999,21.24,21.780001,21.780001,47123100,276,0.005724885,0.330913513,0.099949275,0.082474638,0.817594203,0.026805435,0.166576087,0.100423913,0.733018116,0.132560507
21/4/2021,21.65,22.639999,21.43,22.629999,22.629999,42641400,230,0.031699186,0.345168608,0.1021,0.08033913,0.817556522,0.052916522,0.168934783,0.115030435,0.716043478,0.124201304
22/4/2021,22.940001,23.51,22.51,22.860001,22.860001,51346400,236,0.004345339,0.323941002,0.094021186,0.059771186,0.846220339,0.082636864,0.191525424,0.078101695,0.730347458,0.238202119
23/4/2021,22.889999,23.549999,22.74,23.41,23.41,32052800,196,0.092709519,0.318904566,0.121408163,0.050173469,0.828454082,0.150821939,0.196285714,0.074096939,0.729647959,0.224783673
26/4/2021,23.690001,24.26,23.459999,24.110001,24.110001,33667600,169,0.077379984,0.339435079,0.114976331,0.077538462,0.807502959,0.066069822,0.182656805,0.093248521,0.724100592,0.165553846
27/4/2021,24.17,24.26,23.57,23.879999,23.879999,27678300,156,0.034801393,0.334453071,0.110397436,0.085544872,0.804057692,0.037108333,0.181384615,0.102134615,0.716512821,0.154658333
28/4/2021,23.67,24.17,23.42,23.85,23.85,22068100,136,0.081163559,0.315799787,0.114786765,0.08,0.805227941,0.079085294,0.184632353,0.105794118,0.709529412,0.1884125
29/4/2021,23.870001,24.139999,22.809999,23.370001,23.370001,36770100,209,0.031903307,0.355998426,0.094961722,0.071607656,0.833440191,0.061389474,0.161660287,0.090851675,0.747507177,0.156043541
