Date,Open,High,Low,Close,Adj Close,Volume,count
24/6/2021,17.959999,18.68,17.719999,18.26,18.26,20425500,190
25/6/2021,18.16,18.370001,17.74,18.200001,18.200001,14548100,105
28/6/2021,18.18,19.139999,18.040001,18.629999,18.629999,20750500,97
29/6/2021,18.67,19.24,17.780001,17.860001,17.860001,20315400,120
30/6/2021,17.9,18.4,17.280001,18.08,18.08,25452600,87
1/7/2021,18.030001,18.450001,17.6,17.84,17.84,16278000,60
2/7/2021,17.83,17.91,17.190001,17.23,17.23,13154500,27
6/7/2021,17.139999,17.48,16.690001,16.719999,16.719999,12756900,32
7/7/2021,16.75,16.940001,15.84,16.23,16.23,19486700,39
8/7/2021,15.48,16.389999,15.41,16.25,16.25,12901900,34
9/7/2021,16.24,16.370001,15.85,16.17,16.17,11851200,20
12/7/2021,16.02,16.389999,15.73,16.24,16.24,11637400,35
13/7/2021,16.5,17.42,16.190001,16.32,16.32,26745900,179
14/7/2021,16.76,16.799999,14.95,15.01,15.01,27927000,136
15/7/2021,14.97,15.34,13.97,14.4,14.4,24352300,69
16/7/2021,14.37,14.62,13.72,13.91,13.91,20527900,49
19/7/2021,13.36,13.79,13.19,13.6,13.6,21065900,26
20/7/2021,13.64,14.24,13.03,14.16,14.16,17667400,29
21/7/2021,14.16,14.89,13.94,14.6,14.6,15887200,46
22/7/2021,14.45,14.53,13.77,13.88,13.88,13232300,39
23/7/2021,13.96,13.96,13.26,13.59,13.59,12735300,33
26/7/2021,13.45,14.13,13.24,13.7,13.7,13567300,36
27/7/2021,13.49,13.65,12.54,12.73,12.73,24500600,55
28/7/2021,14.27,16.49,14.02,16.01,16.01,116127500,568
29/7/2021,16.610001,16.67,15.28,15.42,15.42,46247200,227
30/7/2021,15.03,15.51,14.42,14.61,14.61,22117400,48
2/8/2021,14.66,15.25,14.44,14.61,14.61,13522000,24
3/8/2021,14.55,14.58,13.92,14.25,14.25,14151900,14
4/8/2021,14.11,14.57,13.88,13.96,13.96,16313000,21
5/8/2021,13.99,14.75,13.88,14.47,14.47,17031900,31
6/8/2021,14.54,14.64,14.1,14.42,14.42,11634600,13
9/8/2021,14.28,14.71,13.88,14.71,14.71,14547100,17
10/8/2021,14.61,15.21,14.45,14.79,14.79,13606800,4
11/8/2021,14.81,14.81,14.27,14.3,14.3,9320200,7
12/8/2021,14.28,14.33,13.92,14.1,14.1,9048200,13
13/8/2021,14.05,14.05,13.24,13.3,13.3,16550300,11
16/8/2021,13.23,13.53,13.02,13.12,13.12,12986900,10
17/8/2021,12.96,13.36,12.78,13.12,13.12,16146400,82
18/8/2021,13.91,14.06,13.17,13.26,13.26,31537500,95
19/8/2021,13.04,13.36,12.62,12.68,12.68,18242500,39
20/8/2021,12.8,13.04,12.55,12.83,12.83,12787700,20
23/8/2021,12.93,13.42,12.8,13.37,13.37,12749700,15
