Date,Open,High,Low,Close,Adj Close,Volume,count,tb_polarity,tb_subjectivity,v_pos,v_neg,v_neu,v_com,mv_pos,mv_neg,mv_neu,mv_com,Movement,rsi
29/1/2021,14.31,16,11.6,13.26,13.26,602193300,14455,0.03343072,0.285696698,0.088076721,0.053841923,0.85808018,0.07261661,0.174761259,0.066234936,0.759004704,0.211878651,-1,1
1/2/2021,17,17.25,12.91,13.3,13.3,434608000,15551,0.040730099,0.289206042,0.08655662,0.053010739,0.860434313,0.071602707,0.189282104,0.064016976,0.746700212,0.24000382,-1,1
2/2/2021,9.48,10.1,6,7.82,7.82,462775900,10081,0.057115753,0.322146037,0.089002976,0.064431207,0.84656542,0.059419403,0.16994574,0.079221407,0.750833647,0.191573524,-1,1
3/2/2021,8.85,9.77,7.89,8.97,8.97,221405100,4937,0.039472403,0.298376656,0.091276484,0.050549321,0.858174397,0.09626111,0.174200122,0.060811019,0.764987847,0.227803808,1,1
4/2/2021,8.7,8.74,7,7.09,7.09,162985800,4937,0.04971732,0.534525755,0.141826087,0.061857143,0.742652174,0.119017391,0.164695652,0.119130435,0.716130435,0.253943478,-1,1
5/2/2021,7.17,8.27,6.52,6.83,6.83,197097600,23,0.04971732,0.534525755,0.141826087,0,0.742652174,0.119017391,0.164695652,0.119130435,0.716130435,0.253943478,-1,1
8/2/2021,6.88,6.89,5.75,6.18,6.18,128171500,732,0.059979788,0.399276117,0.11270765,0.089233607,0.798062842,0.095234153,0.149502732,0.114959016,0.735547814,0.128086749,-1,-1
9/2/2021,5.81,5.81,5.26,5.5,5.5,102588100,554,0.059692319,0.371968062,0.107373646,0.079714801,0.812920578,0.097904874,0.15781769,0.108572202,0.733601083,0.152885199,-1,1
10/2/2021,5.71,6.59,5.45,5.8,5.8,152810800,676,0.04158582,0.340225885,0.100008876,0.070162722,0.829821006,0.077351036,0.166659763,0.088764793,0.744568047,0.166712426,1,1
11/2/2021,5.62,5.85,5.47,5.61,5.61,55920400,429,0.044015714,0.385549111,0.103606061,0.080456876,0.815925408,0.076288112,0.145916084,0.09795338,0.756130536,0.137948019,-1,-1
12/2/2021,5.72,5.97,5.52,5.59,5.59,46773000,303,0.041048536,0.357662172,0.09419802,0.072864686,0.832937294,0.074039934,0.150356436,0.093574257,0.756079208,0.169689439,-1,1
16/2/2021,6.03,6.05,5.49,5.65,5.65,61165700,155,0.046026831,0.334957148,0.104954839,0.063232258,0.831812903,0.073790323,0.183329032,0.088967742,0.727703226,0.149100645,-1,-1
17/2/2021,5.58,5.62,5.32,5.55,5.55,38849000,69,0.045140848,0.333867381,0.126492754,0.057492754,0.816028986,0.177344928,0.169391304,0.067289855,0.763289855,0.230582609,-1,1
18/2/2021,5.84,6.25,5.46,5.51,5.51,130540800,395,0.040171925,0.307313062,0.094134177,0.062989873,0.842878481,0.071524557,0.152118987,0.072934177,0.774956962,0.172243797,-1,1
