Date,Open,High,Low,Close,Adj Close,Volume,count,tb_polarity,tb_subjectivity,v_pos,v_neg,v_neu,v_com,mv_pos
16/3/2021,470.339996,483.809998,457.660004,475.440002,475.440002,395500,174,0.024808225,0.410556091,0.091431034,0.100982759,0.807557471,0.060697126,0.125637931
17/3/2021,472.290009,484.790009,466.200012,477.029999,477.029999,454200,192,0.037787532,0.438592535,0.099026042,0.098026042,0.802942708,0.033746875,0.122604167
18/3/2021,480,511.519989,475.450012,485.880005,485.880005,845500,49,0.025442121,0.428607916,0.088592857,0.10465,0.806828571,0.033562143,0.1225
19/3/2021,492.549988,518.960022,483.570007,515.609985,515.609985,831300,49,0.025442121,0.428607916,0.088592857,0.10465,0.806828571,0.033562143,0.1225
22/3/2021,523.580017,540.48999,522.909973,528.659973,528.659973,636100,49,0.025442121,0.428607916,0.088592857,0.10465,0.806828571,0.033562143,0.1225
23/3/2021,520,538.130005,499.730011,508.5,508.5,659900,49,0.025442121,0.428607916,0.088592857,0.10465,0.806828571,0.033562143,0.1225
24/3/2021,515,516,483.799988,485.109985,485.109985,736200,49,0.025442121,0.428607916,0.088592857,0.10465,0.806828571,0.033562143,0.1225
25/3/2021,503.019989,534.549988,480.890015,529.080017,529.080017,1538300,49,0.025442121,0.428607916,0.088592857,0.10465,0.806828571,0.033562143,0.1225
26/3/2021,540,581.599976,535.369995,578.179993,578.179993,1994700,49,0.025442121,0.428607916,0.088592857,0.10465,0.806828571,0.033562143,0.1225
29/3/2021,578.179993,610,557.179993,565.900024,565.900024,1590500,80,0.028729788,0.378775327,0.0856875,0.076075,0.838225,-0.01335,0.119225
30/3/2021,564.179993,609.47998,564.179993,600,600,1134700,90,0.00528239,0.447442293,0.094077778,0.096933333,0.808966667,-0.030286667,0.122577778
31/3/2021,603.98999,619.52002,590.369995,596.599976,596.599976,783300,98,0.002183877,0.420929602,0.095765306,0.088020408,0.816234694,0.062784694,0.119897959
1/4/2021,603.369995,603.900024,586,595.630005,595.630005,385000,113,0.061415102,0.40151,0.104238938,0.066088496,0.829690265,0.097704425,0.141911504
5/4/2021,605.049988,606.97998,590.409973,592.929993,592.929993,395000,56,0.089394853,0.424159994,0.101357143,0.070482143,0.828214286,0.0419,0.152642857
6/4/2021,594.090027,611.98999,594,607.469971,607.469971,322800,71,0.063109652,0.377404057,0.085873239,0.072183099,0.841929577,0.019707042,0.130140845
7/4/2021,601,604.320007,580.320007,587.559998,587.559998,420400,67,0.044705001,0.407748771,0.08638806,0.109029851,0.804537313,-0.02271791,0.107746269
8/4/2021,591.469971,605.820007,589,600.969971,600.969971,306500,137,0.042432518,0.470208797,0.103313869,0.089649635,0.807043796,0.084372993,0.128233577
9/4/2021,597.419983,614.909973,597.419983,613.159973,613.159973,334100,161,0.02426196,0.396294345,0.104403727,0.089819876,0.805751553,0.081481366,0.138944099
12/4/2021,612,612.72998,597.01001,600.859985,600.859985,316100,139,0.026675135,0.39350179,0.101913728,0.081236209,0.81685459,0.087350429,0.134255948
13/4/2021,602.400024,603.48999,590.48999,596.340027,596.340027,379600,139,0.026675135,0.39350179,0.101913728,0.081236209,0.81685459,0.087350429,0.134255948
14/4/2021,600.090027,615.98999,597.609985,602.669983,602.669983,293000,118,0.029088309,0.390709236,0.099423729,0.072652542,0.827957627,0.093219492,0.129567797
